"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_003.00.00 | User > Operations about user - negative","","","0","0","0","30","0"
"US_001.00.00 | Pet > Everything about your Pets","","","0","1","16","0","0"
"US_003.00.00 | User > Operations about user - login positive","","","0","0","9","0","0"
"US_003.00.00 | User > Operations about user - login negative","","","0","0","42","0","0"
"","","","0","0","4","0","0"
"US_003.00.00 | User > Operations about user - positive","","","0","0","2","0","0"
"US_003.00.00 | User > Operations about put user","","","0","0","1","0","0"
"US_002.00.00 | Store > Access to Petstore orders","","","0","0","1","0","0"
"US_003.00.00 | User > Operations about user","","","0","0","1","0","0"
"US_003.00.00 | User > Operations about user - logout","","","0","0","1","0","0"
